Position,Player,Matches
GK,Marc-André ter Stegen,50
FW,Robert Lewandowski,46
MF,Gavi,49
DF,Jules Koundé,40
MF,Frenkie de Jong,43
MF,Sergio Busquets,42
DF,Alejandro Balde,44
FW,Raphinha,50
MF,Pedri,35
DF,Ronald Araújo,31
DF,Andreas Christensen,32
FW,Ousmane Dembélé,35
DF,Marcos Alonso,37
DF,Jordi Alba,30
FW,Ferrán Torres,45
DF,Sergi Roberto,33
FW,Ansu Fati,51
DF,Eric García,32
MF,Franck Kessié,43
DF,Gerard Piqué,10
DF,Héctor Bellerín,7
GK,Iñaki Peña,5
MF,Pablo Torre,13
FW,Memphis,4
